,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte,Statistische Kennziffer,GRÜNE - Zweitstimmen,GRÜNE - Zweitstimmen_Anteil
60,2022-05-15,5112,501415.0,0.179,0.14400000000000002,0.256,0.21899999999999997,0.203,0.225,2.0,5.88,0.016,0.08199999999999999,0.309,0.018000000000000002,0.003,0.573,0.309,0.573,0.012,0.076,0.002,0.009000000000000001,0.016,0.003,,0.042,0.266,0.155,0.188,0.418,0.077,0.076,0.055999999999999994,0.027000000000000003,0.002,232.79,2153.937024786288,5112,20738,0.08747996287859613
61,2022-05-15,5113,571039.0,0.16899999999999998,0.139,0.257,0.217,0.218,0.171,1.9,6.76,0.026000000000000002,0.126,0.16399999999999998,0.08800000000000001,0.002,0.595,0.16399999999999998,0.654,0.004,0.068,0.001,0.011000000000000001,0.096,0.002,,0.039,0.26,0.156,0.171,0.461,0.084,0.046,0.048,0.031,0.004,210.34,2714.83788152515,5113,39442,0.12441564832280817
62,2022-05-15,5114,230666.0,0.16699999999999998,0.134,0.247,0.233,0.21899999999999997,0.182,2.0,6.65,0.008,0.135,0.125,0.022000000000000002,0.003,0.708,0.125,0.701,0.004,0.122,,0.02,0.024,0.003,,0.04,0.36,0.115,0.142,0.42100000000000004,0.13,0.085,0.071,0.032,0.003,137.78,1674.1617070692407,5114,14461,0.11923451130423311
63,2022-05-15,5116,264089.0,0.168,0.138,0.251,0.22899999999999998,0.214,0.18,2.0,6.41,0.005,0.192,0.009000000000000001,0.018000000000000002,0.002,0.773,0.009000000000000001,0.8190000000000001,0.004,0.12300000000000001,,0.021,0.02,0.002,,0.037000000000000005,0.373,0.145,0.11599999999999999,0.405,0.13699999999999998,0.098,0.055999999999999994,0.038,0.005,170.47,1549.181674194873,5116,13844,0.09951407458523821
64,2022-05-15,5117,171435.0,0.16699999999999998,0.122,0.239,0.23399999999999999,0.23800000000000002,0.158,2.0,6.54,0.077,0.09,0.048,0.040999999999999995,0.002,0.742,0.048,0.764,0.008,0.11699999999999999,,0.016,0.045,0.002,,0.037000000000000005,0.342,0.14400000000000002,0.138,0.45299999999999996,0.09,0.07400000000000001,0.063,0.036000000000000004,0.004,91.28,1878.1222611744083,5117,11976,0.12211934576008483
65,2022-05-15,5119,212127.0,0.168,0.127,0.249,0.233,0.22399999999999998,0.16,2.0,5.73,0.011000000000000001,0.069,0.354,0.011000000000000001,0.002,0.5539999999999999,0.354,0.539,0.006999999999999999,0.07400000000000001,0.003,0.013000000000000001,0.009000000000000001,0.002,,0.037000000000000005,0.319,0.162,0.11900000000000001,0.439,0.102,0.078,0.061,0.034,0.004,77.09,2751.6798547152675,5119,9566,0.08483429554544568
66,2022-05-15,5120,113743.0,0.17,0.128,0.247,0.237,0.218,0.185,2.0,5.78,0.023,0.254,0.039,0.022000000000000002,0.002,0.6609999999999999,0.039,0.773,0.01,0.145,,0.012,0.019,0.002,,0.048,0.36200000000000004,0.17600000000000002,0.13,0.428,0.10300000000000001,0.08900000000000001,0.049,0.024,0.002,74.52,1526.3419216317768,5120,5282,0.09084342322509631
67,2022-05-15,5122,164621.0,0.17,0.127,0.244,0.24100000000000002,0.217,0.16699999999999998,2.0,6.38,0.018000000000000002,0.196,0.03,0.02,0.003,0.733,0.03,0.7759999999999999,0.008,0.139,0.001,0.022000000000000002,0.02,0.003,,0.038,0.37200000000000005,0.23800000000000002,0.132,0.344,0.091,0.078,0.073,0.039,0.006,89.54,1838.5190976100066,5122,10506,0.12010014060838849
68,2022-05-15,5124,356768.0,0.17600000000000002,0.145,0.25,0.221,0.20800000000000002,0.21,1.9,6.1,0.006999999999999999,0.28600000000000003,0.069,0.018000000000000002,0.002,0.617,0.069,0.7509999999999999,0.006,0.14400000000000002,,0.012,0.015,0.002,,0.043,0.294,0.183,0.139,0.441,0.10099999999999999,0.057,0.05,0.027999999999999997,0.002,168.39,2118.7006354296577,5124,22699,0.12673642129712345
69,2022-05-15,5154,315361.0,0.16699999999999998,0.13,0.245,0.243,0.215,0.16399999999999998,2.1,6.34,0.006,0.099,0.021,0.027999999999999997,0.004,0.8420000000000001,0.021,0.6859999999999999,0.018000000000000002,0.163,0.001,0.073,0.033,0.004,,0.026000000000000002,0.511,0.096,0.081,0.36700000000000005,0.135,0.151,0.099,0.06,0.01,1232.99,255.76930875351786,5154,18986,0.10471279265366903
70,2022-05-15,5158,488128.0,0.16699999999999998,0.111,0.23600000000000002,0.242,0.243,0.135,2.0,7.23,0.02,0.109,0.09699999999999999,0.03,0.002,0.743,0.09699999999999999,0.7140000000000001,0.008,0.128,,0.017,0.034,0.002,,0.027999999999999997,0.435,0.08199999999999999,0.067,0.474,0.162,0.102,0.066,0.042,0.005,407.21,1198.7131946661427,5158,35801,0.12103151126271557
