,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte
164,2022-05-15,7336,69530.0,10938.0,7807.0,15584.0,17669.0,17533.0,5012.0,2.1,5.22,190.0,1466.0,670.0,3043.0,702.0,31011.0,670.0,13990.0,3462.0,14700.0,61.0,1424.0,2068.0,702.0,10.0,6.8,70.1,5976.0,2906.0,9197.0,3317.0,2740.0,2062.0,1136.0,201.0,573.59,121.21898917345142
165,2022-05-15,7337,112576.0,18304.0,12221.0,26283.0,28742.0,27030.0,9860.0,2.2,6.53,305.0,3627.0,946.0,2197.0,765.0,48913.0,946.0,30499.0,3715.0,17244.0,23.0,2261.0,1271.0,765.0,22.0,5.2,63.9,6258.0,3036.0,13060.0,5388.0,4743.0,2976.0,2569.0,418.0,639.95,175.91374326119228
166,2022-05-15,7338,155243.0,27012.0,16398.0,37664.0,37823.0,36344.0,17141.0,2.2,6.9,539.0,7758.0,1563.0,2118.0,486.0,61606.0,1563.0,57637.0,1353.0,9777.0,19.0,2127.0,1103.0,486.0,10.0,3.6,65.0,3888.0,5107.0,18966.0,7675.0,5239.0,3768.0,3339.0,354.0,305.01,508.9767548604964
167,2022-05-15,7339,205297.0,36115.0,22658.0,50097.0,51208.0,45224.0,23297.0,2.1,7.61,1038.0,8274.0,2827.0,3333.0,826.0,88372.0,2827.0,70508.0,2577.0,20738.0,83.0,3923.0,3147.0,826.0,41.0,4.4,58.0,9542.0,4570.0,19195.0,10361.0,8134.0,6245.0,4922.0,634.0,605.34,339.143291373443
168,2022-05-15,7340,90480.0,13250.0,9434.0,19879.0,23721.0,24194.0,4496.0,2.1,4.92,194.0,1575.0,698.0,2385.0,792.0,42593.0,698.0,15165.0,5231.0,23711.0,16.0,1471.0,1146.0,792.0,8.0,6.2,72.6,3979.0,3728.0,15386.0,4696.0,3641.0,2458.0,1479.0,253.0,953.6,94.88255033557047
169,2022-05-15,8111,610458.0,97494.0,104336.0,180243.0,117163.0,111221.0,156891.0,2.0,10.44,8756.0,68240.0,43223.0,20464.0,384.0,173366.0,43223.0,222050.0,5113.0,28698.0,65.0,4713.0,9983.0,384.0,205.0,3.5,31.1,11467.0,18852.0,28483.0,6668.0,4605.0,4256.0,2998.0,535.0,207.33,2944.378526985964
170,2022-05-15,8115,389650.0,70924.0,49358.0,103426.0,86269.0,79675.0,74288.0,2.2,9.02,2805.0,6313.0,22077.0,13471.0,592.0,140893.0,22077.0,76579.0,8349.0,59588.0,63.0,7681.0,11059.0,592.0,165.0,3.9,56.0,3887.0,4940.0,36725.0,13568.0,10507.0,8448.0,5992.0,1209.0,617.78,630.7261484670919
171,2022-05-15,8116,529895.0,90896.0,70619.0,136715.0,120292.0,111371.0,94817.0,2.2,8.92,4423.0,15203.0,21792.0,18791.0,779.0,198409.0,21792.0,117268.0,13542.0,82636.0,102.0,10725.0,12366.0,779.0,182.0,3.8,52.6,9216.0,9457.0,53481.0,16429.0,11650.0,9516.0,6312.0,1385.0,641.28,826.3083208582834
172,2022-05-15,8117,255589.0,44332.0,32897.0,62651.0,58903.0,56807.0,45075.0,2.2,7.26,1520.0,7689.0,5166.0,8872.0,536.0,100000.0,5166.0,62446.0,8491.0,37269.0,71.0,4661.0,5070.0,536.0,69.0,4.7,58.0,7040.0,6401.0,26072.0,9305.0,6895.0,4254.0,3194.0,771.0,642.3199999999999,397.91536928633707
173,2022-05-15,8118,528576.0,94402.0,67834.0,138817.0,119017.0,108508.0,97831.0,2.2,8.93,4452.0,17726.0,23829.0,17300.0,927.0,194625.0,23829.0,130965.0,10200.0,71537.0,135.0,8204.0,12757.0,927.0,305.0,4.0,55.6,8420.0,9686.0,48717.0,17671.0,13051.0,10625.0,7041.0,1348.0,686.77,769.655051909664
174,2022-05-15,8119,435660.0,75764.0,55891.0,108029.0,101895.0,94080.0,72786.0,2.2,8.16,3543.0,12793.0,10537.0,15025.0,836.0,163996.0,10537.0,91540.0,12670.0,74469.0,84.0,7021.0,9130.0,836.0,439.0,3.9,55.8,7604.0,8131.0,42158.0,13879.0,10998.0,7669.0,5719.0,1409.0,858.09,507.7089815753592
175,2022-05-15,8121,128303.0,22890.0,20345.0,35160.0,25309.0,24599.0,35255.0,2.1,8.71,964.0,9526.0,2940.0,1933.0,158.0,48191.0,2940.0,45918.0,1610.0,9991.0,337.0,1355.0,1322.0,158.0,85.0,4.0,43.2,1639.0,3444.0,10774.0,2777.0,1564.0,1279.0,885.0,231.0,99.89,1284.4428871758935
176,2022-05-15,8125,348958.0,62774.0,44998.0,90308.0,80622.0,70253.0,53843.0,2.3,7.62,1562.0,5760.0,5822.0,10565.0,1214.0,137893.0,5822.0,66397.0,11099.0,59551.0,73.0,9760.0,8685.0,1214.0,222.0,4.5,62.0,7394.0,6090.0,34749.0,15419.0,14344.0,8433.0,7067.0,1749.0,1099.94,317.25185010091457
177,2022-05-15,8126,114027.0,20220.0,15225.0,28829.0,26668.0,23090.0,14451.0,2.3,6.8,578.0,1154.0,1157.0,5025.0,527.0,45282.0,1157.0,16798.0,9402.0,19522.0,23.0,2867.0,3382.0,527.0,43.0,4.6,62.2,3166.0,1827.0,11089.0,4573.0,4693.0,2841.0,2243.0,560.0,776.76,146.7982388382512
